bbox,color,detected,detected_pixel,expected_center_pixel,expected_surface_depth_m,expected_world_surface,fixed_box_center,observed_world_surface,pixel_error_px,raw_world_error_m,sample,stamp,surface_depth_error_m,surface_depth_m,surface_world_delta,surface_world_error_m,world_delta_surface_to_center
"[165, 293, 269, 386]",pink,True,"[217, 339]","[220.91558501019392, 337.9626067239966]",1.443830823862906,"[-0.9845677409263569, 2.12, 0.8772207263891565]","[-1.0, 2.2, 0.834]","[-0.9946041986367564, 2.1202081448882177, 0.8741890568701585]",4.050677817495783,0.08950427423673184,1,1786499984.8946316,0.001169228589181337,1.4450000524520874,"[-0.010036457710399516, 0.00020814488821763177, -0.003031669518998026]",0.010486411575918177,"[0.00539580136324358, -0.07979185511178244, 0.0401890568701585]"
"[359, 219, 431, 315]",yellow,True,"[395, 267]","[391.6072034679765, 264.8642770563249]",1.4879389096628615,"[-0.5506764728101523, 2.2199999999999998, 1.0350171994751238]","[-0.54, 2.3, 1.004]","[-0.5471763969041146, 2.180535923737997, 1.0445596108089465]",4.0090373906775865,0.12636553414057253,1,1786499984.8946316,0.04043885959495985,1.4475000500679016,"[0.0035000759060377362, -0.039464076262002656, 0.00954241133382272]",0.040751950390442125,"[-0.007176396904114535, -0.11946407626200273, 0.040559610808946545]"
,brown,False,,,,,,,,,1,1786499984.8946316,,,,,
"[165, 293, 269, 386]",pink,True,"[217, 339]","[220.91558500874575, 337.9626067282793]",1.443830823840243,"[-0.98456774092609, 2.12, 0.8772207263899042]","[-1.0, 2.2, 0.834]","[-0.9946041986367564, 2.120208144911893, 0.8741890568701585]",4.050677814999095,0.08950427421562562,2,1786499985.2279632,0.0011692286118443196,1.4450000524520874,"[-0.010036457710666413, 0.00020814491189291573, -0.003031669519745761]",0.010486411576859728,"[0.00539580136324358, -0.07979185508810716, 0.0401890568701585]"
"[359, 219, 431, 315]",yellow,True,"[395, 267]","[391.6072034689975, 264.8642770594565]",1.4879389096402778,"[-0.5506764728103244, 2.2199999999999998, 1.0350171994756239]","[-0.54, 2.3, 1.004]","[-0.5471763969041146, 2.1805359237616724, 1.0445596108089465]",4.009037388145212,0.12636553411819026,2,1786499985.2279632,0.04043885957237614,1.4475000500679016,"[0.003500075906209821, -0.03946407623832737, 0.009542411333322676]",0.040751950367412734,"[-0.007176396904114535, -0.11946407623832744, 0.040559610808946545]"
,brown,False,,,,,,,,,2,1786499985.2279632,,,,,
"[165, 293, 269, 386]",pink,True,"[217, 339]","[220.91558500693554, 337.9626067336325]",1.4438308238119142,"[-0.9845677409257563, 2.12, 0.8772207263908388]","[-1.0, 2.2, 0.834]","[-0.9946041986367564, 2.120208144941487, 0.8741890568701585]",4.050677811878279,0.0895042741892429,3,1786499985.5613658,0.0011692286401732144,1.4450000524520874,"[-0.010036457711000146, 0.00020814494148702067, -0.003031669520680347]",0.010486411578036746,"[0.00539580136324358, -0.07979185505851305, 0.0401890568701585]"
"[359, 219, 431, 315]",yellow,True,"[395, 267]","[391.6072034702738, 264.86427706337116]",1.4879389096120483,"[-0.5506764728105396, 2.2199999999999998, 1.0350171994762492]","[-0.54, 2.3, 1.004]","[-0.5471763969041146, 2.1805359237912665, 1.0445596108089465]",4.009037384979659,0.12636553409021245,3,1786499985.5613658,0.04043885954414672,1.4475000500679016,"[0.003500075906424982, -0.03946407620873327, 0.009542411332697398]",0.04075195033862595,"[-0.007176396904114535, -0.11946407620873334, 0.040559610808946545]"
,brown,False,,,,,,,,,3,1786499985.5613658,,,,,
"[165, 293, 269, 386]",pink,True,"[217, 339]","[220.91558500403923, 337.96260674219775]",1.4438308237665878,"[-0.9845677409252223, 2.12, 0.8772207263923342]","[-1.0, 2.2, 0.834]","[-0.9946041986367564, 2.1202081449888377, 0.8741890568701585]",4.050677806884973,0.0895042741470305,4,1786499985.936264,0.0011692286854996237,1.4450000524520874,"[-0.010036457711534164, 0.00020814498883758858, -0.003031669522175706]",0.010486411579920028,"[0.00539580136324358, -0.07979185501116248, 0.0401890568701585]"
"[359, 219, 431, 315]",yellow,True,"[395, 267]","[391.60720347231586, 264.86427706963445]",1.4879389095668807,"[-0.5506764728108837, 2.2199999999999998, 1.035017199477249]","[-0.54, 2.3, 1.004]","[-0.5471763969041146, 2.180535923838617, 1.0445596108089465]",4.009037379914879,0.12636553404544792,4,1786499985.936264,0.040438859498979074,1.4475000500679016,"[0.003500075906769151, -0.0394640761613827, 0.009542411331697531]",0.04075195029256722,"[-0.007176396904114535, -0.11946407616138277, 0.040559610808946545]"
,brown,False,,,,,,,,,4,1786499985.936264,,,,,
"[165, 293, 269, 386]",pink,True,"[217, 339]","[220.91558500259106, 337.96260674648045]",1.4438308237439248,"[-0.9845677409249554, 2.12, 0.8772207263930818]","[-1.0, 2.2, 0.834]","[-0.9946041986367564, 2.120208145012513, 0.8741890568701585]",4.050677804388285,0.0895042741259243,5,1786499986.3113143,0.0011692287081626063,1.4450000524520874,"[-0.010036457711801061, 0.00020814501251287254, -0.0030316695229233304]",0.010486411580861546,"[0.00539580136324358, -0.0797918549874872, 0.0401890568701585]"
"[359, 219, 431, 315]",yellow,True,"[395, 267]","[391.6072034733369, 264.864277072766]",1.4879389095442972,"[-0.5506764728110559, 2.2199999999999998, 1.035017199477749]","[-0.54, 2.3, 1.004]","[-0.5471763969041146, 2.1805359238622923, 1.0445596108089465]",4.009037377382533,0.1263655340230657,5,1786499986.3113143,0.04043885947639558,1.4475000500679016,"[0.0035000759069413467, -0.039464076137707416, 0.009542411331197487]",0.04075195026953784,"[-0.007176396904114535, -0.11946407613770749, 0.040559610808946545]"
,brown,False,,,,,,,,,5,1786499986.3113143,,,,,
"[165, 293, 269, 386]",pink,True,"[217, 339]","[220.91558499969477, 337.96260675504567]",1.4438308236985986,"[-0.9845677409244215, 2.12, 0.8772207263945772]","[-1.0, 2.2, 0.834]","[-0.9946041986367564, 2.1202081450598635, 0.8741890568701585]",4.050677799395008,0.08950427408371191,6,1786499986.646915,0.0011692287534887935,1.4450000524520874,"[-0.010036457712334967, 0.00020814505986344045, -0.0030316695244186898]",0.010486411582744722,"[0.00539580136324358, -0.07979185494013663, 0.0401890568701585]"
"[359, 219, 431, 315]",yellow,True,"[395, 267]","[391.6072034753789, 264.8642770790293]",1.48793890949913,"[-0.5506764728114001, 2.2199999999999998, 1.0350171994787492]","[-0.54, 2.3, 1.004]","[-0.5471763969041146, 2.180535923909643, 1.0445596108089465]",4.009037372317754,0.12636553397830116,6,1786499986.646915,0.04043885943122838,1.4475000500679016,"[0.003500075907285516, -0.03946407609035685, 0.009542411330197398]",0.040751950223479064,"[-0.007176396904114535, -0.11946407609035692, 0.040559610808946545]"
,brown,False,,,,,,,,,6,1786499986.646915,,,,,
"[165, 293, 269, 386]",pink,True,"[217, 339]","[220.91558499788454, 337.9626067603989]",1.4438308236702695,"[-0.9845677409240877, 2.12, 0.8772207263955117]","[-1.0, 2.2, 0.834]","[-0.9946041986367564, 2.1202081450894577, 0.8741890568701585]",4.050677796274164,0.08950427405732915,7,1786499987.019777,0.0011692287818179103,1.4450000524520874,"[-0.0100364577126687, 0.0002081450894575454, -0.0030316695253532755]",0.010486411583921742,"[0.00539580136324358, -0.07979185491054253, 0.0401890568701585]"
"[359, 219, 431, 315]",yellow,True,"[395, 267]","[391.6072034766552, 264.864277082944]",1.4879389094709001,"[-0.5506764728116152, 2.2199999999999998, 1.0350171994793742]","[-0.54, 2.3, 1.004]","[-0.5471763969041146, 2.180535923939237, 1.0445596108089465]",4.009037369152218,0.12636553395032335,7,1786499987.019777,0.04043885940299852,1.4475000500679016,"[0.003500075907500677, -0.03946407606076274, 0.009542411329572342]",0.04075195019469233,"[-0.007176396904114535, -0.11946407606076281, 0.040559610808946545]"
,brown,False,,,,,,,,,7,1786499987.019777,,,,,
"[165, 293, 269, 386]",pink,True,"[217, 339]","[220.9155849964364, 337.9626067646816]",1.4438308236476065,"[-0.9845677409238207, 2.12, 0.8772207263962594]","[-1.0, 2.2, 0.834]","[-0.9946041986367564, 2.120208145113133, 0.8741890568701585]",4.050677793777503,0.08950427403622296,8,1786499987.353067,0.001169228804480893,1.4450000524520874,"[-0.010036457712935709, 0.00020814511313282935, -0.0030316695261008997]",0.010486411584863365,"[0.00539580136324358, -0.07979185488686724, 0.0401890568701585]"
"[359, 219, 431, 315]",yellow,True,"[395, 267]","[391.6072034776762, 264.86427708607556]",1.4879389094483164,"[-0.5506764728117874, 2.2199999999999998, 1.0350171994798743]","[-0.54, 2.3, 1.004]","[-0.5471763969041146, 2.1805359239629123, 1.0445596108089465]",4.009037366619873,0.1263655339279411,8,1786499987.353067,0.040438859380414804,1.4475000500679016,"[0.0035000759076728727, -0.03946407603708746, 0.009542411329072298]",0.04075195017166295,"[-0.007176396904114535, -0.11946407603708753, 0.040559610808946545]"
,brown,False,,,,,,,,,8,1786499987.353067,,,,,
"[165, 293, 269, 386]",pink,True,"[217, 339]","[220.91558499354008, 337.9626067732468]",1.4438308236022803,"[-0.9845677409232869, 2.12, 0.8772207263977547]","[-1.0, 2.2, 0.834]","[-0.9946041986367564, 2.1202081451604835, 0.8741890568701585]",4.050677788784198,0.08950427399401056,9,1786499987.771332,0.0011692288498070802,1.4450000524520874,"[-0.010036457713469504, 0.00020814516048339726, -0.003031669527596259]",0.010486411586746435,"[0.00539580136324358, -0.07979185483951667, 0.0401890568701585]"
