bbox,color,detected,detected_pixel,expected_center_pixel,expected_surface_depth_m,expected_world_surface,fixed_box_center,observed_world_surface,pixel_error_px,raw_world_error_m,sample,stamp,surface_depth_error_m,surface_depth_m,surface_world_delta,surface_world_error_m,world_delta_surface_to_center
"[165, 293, 268, 386]",pink,True,"[216, 339]","[220.91559197435907, 337.96258612898]",1.4438309328492662,"[-0.9845677422101686, 2.12, 0.8772207227936186]","[-1.0, 2.2, 0.834]","[-0.9971159796731356, 2.120208230838879, 0.874189057647317]",5.023870221071409,0.08938794299952757,1,1786498716.895544,0.001169119602821178,1.4450000524520874,"[-0.01254823746296696, 0.00020823083887888671, -0.0030316651463015987]",0.012910949502982636,"[0.0028840203268644116, -0.07979176916112118, 0.04018905764731706]"
"[165, 293, 268, 386]",pink,True,"[216, 339]","[220.91559197291105, 337.9625861332624]",1.4438309328266048,"[-0.9845677422099016, 2.12, 0.8772207227943662]","[-1.0, 2.2, 0.834]","[-0.9971159796731356, 2.1202082308625525, 0.874189057647317]",5.023870218770284,0.08938794297839552,2,1786498717.3113513,0.0011691196254826064,1.4450000524520874,"[-0.012548237463233969, 0.0002082308625523943, -0.003031665147049223]",0.012910949503799509,"[0.0028840203268644116, -0.07979176913744768, 0.04018905764731706]"
"[165, 293, 268, 386]",pink,True,"[216, 339]","[220.915591970015, 337.96258614182693]",1.443830932781282,"[-0.9845677422093677, 2.12, 0.8772207227958615]","[-1.0, 2.2, 0.834]","[-0.9971159796731356, 2.1202082309098995, 0.874189057647317]",5.023870214168092,0.0893879429361314,3,1786498717.7281485,0.001169119670805463,1.4450000524520874,"[-0.012548237463767875, 0.0002082309098994095, -0.0030316651485444712]",0.012910949505433145,"[0.0028840203268644116, -0.07979176909010066, 0.04018905764731706]"
"[165, 293, 268, 386]",pink,True,"[216, 339]","[220.91559196856687, 337.96258614610923]",1.4438309327586207,"[-0.9845677422091008, 2.12, 0.8772207227966091]","[-1.0, 2.2, 0.834]","[-0.9971159796731356, 2.120208230933573, 0.874189057647317]",5.023870211866906,0.08938794291499935,4,1786498718.1447678,0.0011691196934666692,1.4450000524520874,"[-0.012548237464034773, 0.0002082309335729171, -0.0030316651492920954]",0.012910949506249908,"[0.0028840203268644116, -0.07979176906642715, 0.04018905764731706]"
"[165, 293, 268, 386]",pink,True,"[216, 339]","[220.91559196530875, 337.9625861557444]",1.4438309327076324,"[-0.9845677422085002, 2.12, 0.8772207227982912]","[-1.0, 2.2, 0.834]","[-0.9971159796731356, 2.1202082309868384, 0.874189057647317]",5.023870206689368,0.08938794286745222,5,1786498718.5614347,0.001169119744454994,1.4450000524520874,"[-0.012548237464635403, 0.0002082309868383092, -0.0030316651509741943]",0.012910949508087721,"[0.0028840203268644116, -0.07979176901316176, 0.04018905764731706]"
"[165, 293, 268, 386]",pink,True,"[216, 339]","[220.9155919624127, 337.962586164309]",1.4438309326623098,"[-0.9845677422079663, 2.12, 0.8772207227997865]","[-1.0, 2.2, 0.834]","[-0.9971159796731356, 2.1202082310341854, 0.874189057647317]",5.023870202087164,0.08938794282518811,6,1786498718.977948,0.0011691197897776284,1.4450000524520874,"[-0.01254823746516931, 0.0002082310341853244, -0.0030316651524694427]",0.012910949509721357,"[0.0028840203268644116, -0.07979176896581475, 0.04018905764731706]"
"[165, 293, 268, 386]",pink,True,"[216, 339]","[220.91559196096466, 337.9625861685914]",1.4438309326396481,"[-0.9845677422076994, 2.12, 0.877220722800534]","[-1.0, 2.2, 0.834]","[-0.9971159796731356, 2.120208231057859, 0.874189057647317]",5.023870199786051,0.08938794280405606,7,1786498719.3947332,0.0011691198124392788,1.4450000524520874,"[-0.012548237465436207, 0.000208231057858832, -0.003031665153216956]",0.012910949510538094,"[0.0028840203268644116, -0.07979176894214124, 0.04018905764731706]"
"[165, 293, 268, 386]",pink,True,"[216, 339]","[220.9155919577065, 337.9625861782265]",1.44383093258866,"[-0.9845677422070988, 2.12, 0.8772207228022162]","[-1.0, 2.2, 0.834]","[-0.9971159796731356, 2.1202082311111243, 0.874189057647317]",5.023870194608498,0.08938794275650892,8,1786498719.8116379,0.0011691198634273814,1.4450000524520874,"[-0.012548237466036838, 0.0002082311111242241, -0.0030316651548991658]",0.012910949512375935,"[0.0028840203268644116, -0.07979176888887585, 0.04018905764731706]"
"[165, 293, 268, 386]",pink,True,"[216, 339]","[220.91559195625842, 337.96258618250874]",1.4438309325659986,"[-0.9845677422068319, 2.12, 0.8772207228029638]","[-1.0, 2.2, 0.834]","[-0.9971159796731356, 2.120208231134798, 0.874189057647317]",5.023870192307352,0.08938794273537687,9,1786498720.2282252,0.0011691198860888097,1.4450000524520874,"[-0.012548237466303735, 0.0002082311347977317, -0.00303166515564679]",0.0129109495131927,"[0.0028840203268644116, -0.07979176886520234, 0.04018905764731706]"
"[165, 293, 268, 386]",pink,True,"[216, 339]","[220.91559195336237, 337.96258619107334]",1.4438309325206757,"[-0.984567742206298, 2.12, 0.8772207228044591]","[-1.0, 2.2, 0.834]","[-0.9971159796731356, 2.120208231182145, 0.8741890576473169]",5.023870187705148,0.0893879426931127,10,1786498720.6447227,0.0011691199314116663,1.4450000524520874,"[-0.012548237466837642, 0.0002082311821447469, -0.0030316651571421493]",0.012910949514826364,"[0.0028840203268644116, -0.07979176881785532, 0.04018905764731695]"
